,date,country,area,mtu,price(eur/mwh)
13,01.12.2022,France,BZN FR,13:00 - 14:00,437.37
14,01.12.2022,France,BZN FR,14:00 - 15:00,451.52
15,01.12.2022,France,BZN FR,15:00 - 16:00,457.71
16,01.12.2022,France,BZN FR,16:00 - 17:00,456.93
17,01.12.2022,France,BZN FR,17:00 - 18:00,484.07
18,01.12.2022,France,BZN FR,18:00 - 19:00,469.79
19,01.12.2022,France,BZN FR,19:00 - 20:00,457.89
20,01.12.2022,France,BZN FR,20:00 - 21:00,427.77
21,01.12.2022,France,BZN FR,21:00 - 22:00,379.49
22,01.12.2022,France,BZN FR,22:00 - 23:00,340.3
23,01.12.2022,France,BZN FR,23:00 - 00:00,321.0
0,01.12.2022,Georgia,BZN GE,00:00 - 01:00,
1,01.12.2022,Georgia,BZN GE,01:00 - 02:00,
2,01.12.2022,Georgia,BZN GE,02:00 - 03:00,
3,01.12.2022,Georgia,BZN GE,03:00 - 04:00,
4,01.12.2022,Georgia,BZN GE,04:00 - 05:00,
5,01.12.2022,Georgia,BZN GE,05:00 - 06:00,
6,01.12.2022,Georgia,BZN GE,06:00 - 07:00,
7,01.12.2022,Georgia,BZN GE,07:00 - 08:00,
8,01.12.2022,Georgia,BZN GE,08:00 - 09:00,
9,01.12.2022,Georgia,BZN GE,09:00 - 10:00,
10,01.12.2022,Georgia,BZN GE,10:00 - 11:00,
11,01.12.2022,Georgia,BZN GE,11:00 - 12:00,
12,01.12.2022,Georgia,BZN GE,12:00 - 13:00,
13,01.12.2022,Georgia,BZN GE,13:00 - 14:00,
14,01.12.2022,Georgia,BZN GE,14:00 - 15:00,
15,01.12.2022,Georgia,BZN GE,15:00 - 16:00,
16,01.12.2022,Georgia,BZN GE,16:00 - 17:00,
17,01.12.2022,Georgia,BZN GE,17:00 - 18:00,
18,01.12.2022,Georgia,BZN GE,18:00 - 19:00,
19,01.12.2022,Georgia,BZN GE,19:00 - 20:00,
20,01.12.2022,Georgia,BZN GE,20:00 - 21:00,
21,01.12.2022,Georgia,BZN GE,21:00 - 22:00,
22,01.12.2022,Georgia,BZN GE,22:00 - 23:00,
23,01.12.2022,Georgia,BZN GE,23:00 - 00:00,
0,01.12.2022,Germany,BZN DE-LU,00:00 - 01:00,292.06
1,01.12.2022,Germany,BZN DE-LU,01:00 - 02:00,291.43
2,01.12.2022,Germany,BZN DE-LU,02:00 - 03:00,284.76
3,01.12.2022,Germany,BZN DE-LU,03:00 - 04:00,274.8
4,01.12.2022,Germany,BZN DE-LU,04:00 - 05:00,271.91
5,01.12.2022,Germany,BZN DE-LU,05:00 - 06:00,283.49
6,01.12.2022,Germany,BZN DE-LU,06:00 - 07:00,353.18
7,01.12.2022,Germany,BZN DE-LU,07:00 - 08:00,450.84
8,01.12.2022,Germany,BZN DE-LU,08:00 - 09:00,463.55
9,01.12.2022,Germany,BZN DE-LU,09:00 - 10:00,462.15
10,01.12.2022,Germany,BZN DE-LU,10:00 - 11:00,453.07
11,01.12.2022,Germany,BZN DE-LU,11:00 - 12:00,446.43
12,01.12.2022,Germany,BZN DE-LU,12:00 - 13:00,437.88
13,01.12.2022,Germany,BZN DE-LU,13:00 - 14:00,446.54
14,01.12.2022,Germany,BZN DE-LU,14:00 - 15:00,464.07
15,01.12.2022,Germany,BZN DE-LU,15:00 - 16:00,463.1
16,01.12.2022,Germany,BZN DE-LU,16:00 - 17:00,458.04
17,01.12.2022,Germany,BZN DE-LU,17:00 - 18:00,484.07
